trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.002, 'e': 0.7452764914432887}",25,10,-88.09687830532626,"{0: 9, 1: 0, 2: 4, 3: 1, 4: 1}",1
148,False,"{'a': 0.002, 'e': 0.7437874280201796}",25,1,-147.49048504440248,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 2}",1
149,False,"{'a': 0.002, 'e': 0.7423013397477743}",30,0,-188.41276224017625,"{0: 18, 1: 0, 2: 7, 3: 3, 4: 2}",0
150,False,"{'a': 0.002, 'e': 0.7408182206817179}",30,0,-115.83729494763891,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
151,False,"{'a': 0.002, 'e': 0.7393380648895319}",25,0,-71.31167474818372,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
152,False,"{'a': 0.002, 'e': 0.7378608664505911}",25,0,-66.83205276459873,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
153,False,"{'a': 0.002, 'e': 0.7363866194561001}",25,0,-161.80671829648415,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
154,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,0,-87.16964336604262,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
155,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-40.04424673758717,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,16,2.6000348911555307,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-79.58545027739979,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
158,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,2,-79.75042230293926,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
159,False,"{'a': 0.002, 'e': 0.7276027884145955}",25,0,-145.73350544609195,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
160,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,0,-149.94270059075777,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
161,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,0,-66.30891009747779,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
162,False,"{'a': 0.002, 'e': 0.7232502423798424}",25,3,-110.57832297920261,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 1}",1
163,False,"{'a': 0.002, 'e': 0.7218051874317158}",30,23,0.3343913528221787,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.002, 'e': 0.7203630197053014}",30,0,-160.7030240482993,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
165,False,"{'a': 0.002, 'e': 0.7189237334319262}",25,0,-65.60833254002785,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
166,False,"{'a': 0.002, 'e': 0.7174873228544433}",30,0,-51.08318119331217,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 0}",0
167,False,"{'a': 0.002, 'e': 0.7160537822272085}",25,11,-46.505835632138506,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.002, 'e': 0.7146231058160573}",20,0,-54.718359800586875,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
169,False,"{'a': 0.002, 'e': 0.7131952878982822}",30,0,-83.03465704364268,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.7117703227626097}",20,15,1.0579593849825848,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.002, 'e': 0.7103482047091773}",25,16,-46.065650579599044,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
172,False,"{'a': 0.002, 'e': 0.7089289280495107}",20,3,-76.45931529811841,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
173,False,"{'a': 0.002, 'e': 0.7075124871065017}",35,0,-9.4135544818224,"{0: 29, 1: 2, 2: 4, 3: 0, 4: 0}",0
174,False,"{'a': 0.002, 'e': 0.7060988762143844}",20,5,-33.76427400219953,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.002, 'e': 0.7046880897187134}",20,0,-3.67932397070649,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
176,False,"{'a': 0.002, 'e': 0.7032801219763409}",25,4,-65.90511319392105,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 1}",1
177,False,"{'a': 0.002, 'e': 0.701874967355394}",20,4,-100.87815622684343,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 3}",1
178,False,"{'a': 0.002, 'e': 0.7004726202352524}",25,2,-85.89056795864254,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 1}",1
179,False,"{'a': 0.002, 'e': 0.6990730750065257}",30,0,-118.02705322591213,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
180,False,"{'a': 0.002, 'e': 0.697676326071031}",25,0,-180.8939575014117,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
181,False,"{'a': 0.002, 'e': 0.696282367841771}",20,0,-187.57670962028084,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
182,False,"{'a': 0.002, 'e': 0.6948911947429106}",25,0,-83.18780934240408,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
